"id","url","nama","alamat","daerah","latitude","longitude","jenis","mula","hingga","geocoder_address","geocoder_longitude","geocoder_latitude","geocoder_location_type","last_update"
111,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkxuL3JFOGxoNTl6U3E4ZU1WVThobHc9PSIsInZhbHVlIjoiUjd0ME9xeDh3RktmUExteUJ6SmZGZz09IiwibWFjIjoiNmYyMTBiMDgyMjBiYWMwOTUxOTY0YWRlYzEyNTA4YzJlNTBjYTFjNDQ2OWE3NDJlM2ViNmY2YTdhZGZkNWQzMiIsInRhZyI6IiJ9","Emmalia Kitchen","Medan Selera Lot C2 &amp; C3, Kompleks Ujana Kewangan, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Medan Selera / Gerai","17 Feb Hingga","17 Feb 2023",,,,,"2023-02-18 16:25:16"
112,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkI4cnc0dVJMYWVQMlhnTGJDb3VKUkE9PSIsInZhbHVlIjoiaFZkK3Vxc3hYeHZjMU5sNUM0elA2dz09IiwibWFjIjoiYjk4ZjdjNTcxYjUyN2IyNDczN2U4ZjA1MDVkZWFiYjA3MzVkMmI0MmE1NWM2ZmQyYjI3ZmFmM2I0MTI3ZGU3OSIsInRhZyI6IiJ9","Restoran Deen","A021-Ao22, Ground Floor, Kompleks Ujana Kewangan, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jln Merdeka, Financial Park, 87000 Labuan, Wilayah Persekutuan Labuan, Malaysia",115.2488585,5.2756766,"GEOMETRIC_CENTER","2023-02-18 16:24:45"
113,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImgycGEwQXFROWtKTGJ5eHZUa2tCeWc9PSIsInZhbHVlIjoiOFFQSVBjc2FFUW4vQ1lZYTZ1UlprZz09IiwibWFjIjoiMWZjNTNjNmIxYTUzYmMzN2RhNmFkYmU3NzcxZDVmMzdkMmY3YTg0MmMzYmQwN2JmMDI3MmYzMzBiMjlhOGFlZCIsInRhZyI6IiJ9","Restoran Selera Farizah","U0068, Jalan OKK Awang Besar, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jalan Okk Awang Besar, Bandar Labuan, 87000 Victoria, Wilayah Persekutuan Labuan, Malaysia",115.2409643,5.2788985,"GEOMETRIC_CENTER","2023-02-18 16:24:35"
114,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImtYUXUrbVZucXdPZXQyRGtLTlpHQ0E9PSIsInZhbHVlIjoiRVFCNENab3BLbithaEszUlQ4VDNkQT09IiwibWFjIjoiZmVkZDMxYjIxYTU3NWQwNjVjZDRjMDZhMzViNmZjOGY0NmExZmI3OTJhZWZlOTgwNTQxZjNiYzM3YWRhNDU1NCIsInRhZyI6IiJ9","M/S Mama Kitchen","U0064, Jalan OKK Awang Besar, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jalan Okk Awang Besar, Bandar Labuan, 87000 Victoria, Wilayah Persekutuan Labuan, Malaysia",115.2409643,5.2788985,"GEOMETRIC_CENTER","2023-02-18 16:24:41"
115,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6Im5BWW1hZmJRQ1BLWlBwYTBOQ2IxY0E9PSIsInZhbHVlIjoiSGFvek1SM0pjTGsxdm9NTHZtdkpDZz09IiwibWFjIjoiNDkwZDdhMGY2NmQ4MDM1ZWFhY2I3MmZjMTU2ODQwMWNjYmZlYWEzNzgzNjIyYjg3MWU4Y2NlMzdmOWZmYWZkYiIsInRhZyI6IiJ9","Bismillah Restoran","U0116, Jalan OKK Awang Besar, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jalan Okk Awang Besar, Bandar Labuan, 87000 Victoria, Wilayah Persekutuan Labuan, Malaysia",115.2409643,5.2788985,"GEOMETRIC_CENTER","2023-02-18 16:24:32"
116,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlE0RzZsS211QW13cS83Y3ZQU2tGc2c9PSIsInZhbHVlIjoiM2JpSHZHdFh0SWVvZmpGZ3pMVkpLQT09IiwibWFjIjoiMjE3MmY5OWQ1ZGU0NzgzNTI3ZjhiNDQzZDQ4Nzg1MmQwZDdmYTJhMjhjYWM3YjY1ZGRmZGNkMDg4Y2FlN2E4MiIsInRhZyI6IiJ9","Restoran Sharifah","U0101, Jalan Merdeka, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","u0101, 87000, Jalan Merdeka, Financial Park, 87016 Victoria, Wilayah Persekutuan Labuan, Malaysia",115.2476623,5.2757147,"ROOFTOP","2023-02-18 16:24:31"
117,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkxyRE5JYzJOcUgzZWNQbG5PdHRwREE9PSIsInZhbHVlIjoiVnNVbVptMUU4QzJxcEpQZlQ2US9adz09IiwibWFjIjoiOTRkNGY0NmFlNmU5NTI1YjI0NGNhOGFjMDA5NmQyMDlkZTEyMjM4OTNjMTFmNjhhNTY0ODdlNzNkODY3NTljMSIsInRhZyI6IiJ9","Restoran JJ Nazar Sdn Bhd","Lot 30, Blok C No. 21, Lazenda Centre, Jalan OKK Abdullah, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Lazenda Commercial Centre Phase 3, 708, Bandar Labuan, 87000 Labuan, Labuan Federal Territory, Malaysia",115.246853,5.2789437,"ROOFTOP","2023-02-18 16:24:38"
118,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkhFbUIya05jaEp6RU1keWFPcHZ4clE9PSIsInZhbHVlIjoiTDFEeUVMMFVHUVYrc3dpaDhBMXB2QT09IiwibWFjIjoiYWY4NDYxMWQ1MTBhMTIzZjE1OGQ5M2U4MTE1M2U0OWI4MGZlM2Q0OGY2OTRmY2E3MjU5NjY5MjAxZDI3NTM5ZiIsInRhZyI6IiJ9","Sayang Sri Utara","Lot A8, Tgkt Bawah Blok A, Wisma Shore Servis, Jalan Ujong Pasir, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","87000 Labuan, Labuan Federal Territory, Malaysia",115.230825,5.2831456,"APPROXIMATE","2023-02-18 16:24:32"
119,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IjJDRCtycHFqby96aFpHdGQvTXM2c3c9PSIsInZhbHVlIjoiWnNQc2dKZ0dQejZvZHBHUy9rQ2VFUT09IiwibWFjIjoiODgxMDJmY2Y3NTg3YjRiYWFjOTJiMzQyMjg5M2JhOTY3ZDI4MGE3NmVhYTNkYzc3YTY4NTQ0YjgwZTk0ZDg0NCIsInRhZyI6IiJ9","Lacu Enterprise","Café Klinik Kesihatan Membedai, Jalan Tanjung Taras, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jalan Tanjung Taras, 87000 Victoria, Wilayah Persekutuan Labuan, Malaysia",115.2649429,5.2897175,"GEOMETRIC_CENTER","2023-02-18 16:24:35"
120,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlllZ3RHYlBld09WN1BZNnlQelhnNGc9PSIsInZhbHVlIjoidFVNY2ZPazR1K1Rsd25QZ1lsK0JPdz09IiwibWFjIjoiNjgwMjA1OWYxMzFkZTNjZjE1ZWE0MTZmODBiNjQ5NzA3NTZmYzFhZjhhMDVlYTYyNzYyZTEzMmM0ODk3OGUzMCIsInRhZyI6IiJ9","Anjung Selera Indera Gusu","Kampung Sungai Labu, 87000 Wilayah Persekutuan Labuan","WP Labuan W.P Labuan",,,"Medan Selera / Gerai","17 Feb Hingga","17 Feb 2023","SL 0017 Kg. Sungai Labu W.P., 87000 Labuan, Wilayah Persekutuan Labuan, Malaysia",115.1905302,5.3274396,"GEOMETRIC_CENTER","2023-02-18 16:24:44"
